id,userName,userUrl,version,score,title,text,url,updated
11112286700,Dibidhvuf,https://itunes.apple.com/us/reviews/id239154424,11.5.0,5,Love this app,So many amazing videos to be made!,https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T23:37:59-07:00
11112279549,theprophetsscribe,https://itunes.apple.com/us/reviews/id1355375440,11.5.0,5,Easy to use,👏🏾👏🏾,https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T23:34:20-07:00
11112276182,OMGJustDance,https://itunes.apple.com/us/reviews/id1259182459,11.5.0,5,#Nicja,Love it! Real bad<3,https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T23:32:33-07:00
11112264743,slowslothie,https://itunes.apple.com/us/reviews/id587023696,11.2.1,5,Love this!,☆ CapCut is an amazing app and has helped me find my creative art mind set I LOVE making edits of my favorite characters and my friends thanks SO much! ☆,https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T23:26:37-07:00
11112249531,"Wendy, Bundy Yanni",https://itunes.apple.com/us/reviews/id1473620709,11.5.0,5,CapCut,drop123,https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T23:18:44-07:00
11112177784,lebnin23,https://itunes.apple.com/us/reviews/id642065431,11.5.0,5,The best,I really khaki is the best. Easy to use..,https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T22:41:51-07:00
11112153785,gamergirl408v,https://itunes.apple.com/us/reviews/id1510970779,11.5.0,5,V,It makes my videos much better,https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T22:29:31-07:00
11112052730,Yanesita503,https://itunes.apple.com/us/reviews/id249905253,11.4.0,5,Mi vida entera,😍😍,https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T21:39:04-07:00
11111998339,Laughing-cactus,https://itunes.apple.com/us/reviews/id1227474813,3.6.0,5,The best video editing app ever in my opinon,"I've been using CapCut since March 4th for my new YT channel, and I have to say, it is amazing! Not the No. 1 best, but certanly not good or great, just amazing",https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T21:12:40-07:00
11111982286,kismek83,https://itunes.apple.com/us/reviews/id28935528,11.5.0,5,Great app,Love it,https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T21:05:07-07:00
11111957137,Buttercream877,https://itunes.apple.com/us/reviews/id1521525595,11.5.0,5,This is awesome,Just love it,https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T20:53:21-07:00
11111932987,Fetus Chedlourne,https://itunes.apple.com/us/reviews/id1363579360,11.5.0,5,CapCut is amazing,Fav app!,https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T20:42:07-07:00
11111908392,Lela Pate,https://itunes.apple.com/us/reviews/id1530871623,11.5.0,5,THE BEST APP,Love it so much🫠🫠idk,https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T20:30:52-07:00
11111877206,im ur gf,https://itunes.apple.com/us/reviews/id1266934210,11.5.0,5,BEST EDIt APP,I’ve had this app for years and it will always be good. I love it because you can do what ever you want and there is templates you can use for edits. And there is barley any ads to worry about. It can work if you don’t have internet. I love this app so much I recommend you having this to edit stuff.,https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T20:17:16-07:00
11111872041,~Cyprus~,https://itunes.apple.com/us/reviews/id900981008,11.5.0,5,CapCut is great,"CapCut is a very good app😺
My bestie is very proud of me for making a amazing video with it!
I like how you can edit and use other peoples templates. Very amazing!!😻",https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T20:15:05-07:00
11111835312,isaac.walter,https://itunes.apple.com/us/reviews/id1258190543,11.5.0,5,Love if,This app is the best!!!,https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T19:59:14-07:00
11111821850,Luis Garcis,https://itunes.apple.com/us/reviews/id705521233,11.5.0,5,Awesome editing app!,"I love using CapCut for editing my videos, it makes it fun and it’s really easy to use !",https://itunes.apple.com/us/review?id=1500855883&type=Purple%20Software,2024-04-01T19:53:37-07:00
